#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
93  277000  122.32512315978812  5     0.005104111075833155     3.1124163113534813e+49     2.4079496712592447e+49     9.086140319045684e+49     1.460650630165841e+50
94  279000  123.31034483472231  5     0.005160052991174824     3.165011486765685e+49     2.3855551610795213e+49     9.186508901793831e+49     1.4737075549639037e+50
95  280000  123.80295567218941  5     0.005183129073990073     3.169913499336115e+49     2.3946511311790624e+49     9.234991558518763e+49     1.4799556189033942e+50
96  282000  124.78817734712361  5     0.005219396335378479     3.1743627312749227e+49     2.395512165042904e+49     9.309601044013335e+49     1.4879475940331162e+50
97  283000  125.2807881845907  5     0.0052416275912053585     3.18616581258039e+49     2.3891988769833907e+49     9.34625216046933e+49     1.4921616850033112e+50
98  285000  126.2660098595249  5     0.005326820927254209     3.2822690636310246e+49     2.3951580556104755e+49     9.491885762408513e+49     1.5169312881650014e+50
99  286000  126.758620696992  5     0.0053509774821369985     3.298128227317774e+49     2.3939393284448076e+49     9.554178586153659e+49     1.5246246141916241e+50
100  287000  127.25123153445908  5     0.005369215616885781     3.300150616027595e+49     2.406590576193437e+49     9.605266168100624e+49     1.5312007360321655e+50
101  289000  128.2364532093933  5     0.005460622921062377     3.3487380889664393e+49     2.463583503873549e+49     9.790272676829854e+49     1.5602594269669842e+50
102  290000  128.72906404686037  5     0.005497772454734353     3.3606059588366e+49     2.486840202073348e+49     9.86447734281224e+49     1.5711923503722187e+50
103  292000  129.71428572179457  5     0.005577465328872818     3.4313757347259643e+49     2.5049196178115045e+49     1.0031206114952228e+50     1.5967501467489695e+50
104  294000  130.69950739672876  5     0.005626575895584085     3.478930702503765e+49     2.4846777140835626e+49     1.0189313694790552e+50     1.615292211137788e+50
105  296000  131.68472907166296  5     0.005685549746211295     3.552634040467e+49     2.4812976620000107e+49     1.0324731967758101e+50     1.6358663670225111e+50
